id,key,english,korean
22049391575740416,Key_Card16_Desc,"Zero your money for 2 rounds. Then, you either win +20% with an 80% chance or lose everything with a 20% chance.","2라운드 동안 소지금이 0원이 됩니다. 그 후, 80%의 확률로 +20%를 얻거나 20%의 확률로 모든 것을 잃게 됩니다."
22049376585297920,Key_Card16_Name,All In I,올인 I
22049915599499264,Key_Card17_Desc,"Zero your money for 2 rounds. Then, you either win +50% with a 35% chance or lose everything with a 50% chance.","2라운드 동안 소지금이 0원이 됩니다. 그 후, 35%의 확률로 +50%를 얻거나 50%의 확률로 모든 것을 잃게 됩니다."
22049898344132608,Key_Card17_Name,All In II,올인 II
22050354244005888,Key_Card18_Desc,"Zero your money for 2 rounds. Then, you either win +50% with a 20% chance or lose everything with an 80% chance.","2라운드 동안 소지금이 0원이 됩니다. 그 후, 20%의 확률로 +50%를 얻거나 80%의 확률로 모든 것을 잃게 됩니다."
22050336510488576,Key_Card18_Name,All In III,올인 III
22050821967622144,Key_Card19_Desc,Steal 250 from the richest player.,가장 부유한 플레이어에게서 250을 훔칩니다.
22050803223277568,Key_Card19_Name,Robin Hood,로빈 후드
22037142039605248,Key_Card1_Desc,You learn the price of the items sold by the seller.,판매자가 판매하는 아이템의 가격을 알 수 있습니다.
22037085395529728,Key_Card1_Name,Price Insider,가격 인사이더
22051250185089024,Key_Card20_Desc,Protect yourself from all card effects for 1 hand.,1턴 동안 모든 카드 효과로부터 자신을 보호합니다.
22051230568329216,Key_Card20_Name,Shut Down,셧다운
22052034918395904,Key_Card21_Desc,Steal 100 from every player.,모든 플레이어에게서 100을 훔칩니다.
22052019667906560,Key_Card21_Name,Bank Heist,은행 강도
22052538012577792,Key_Card22_Desc,"Choose a player. If player make 5 or more bids this hand, they lose 300. Otherwise, you lose 300.","플레이어 1명을 선택합니다. 이번 턴에 5회 이상 입찰하면 300을 잃고, 그렇지 않으면 자신이 300을 잃습니다."
22052524477558784,Key_Card22_Name,Overbid Trap,오버비드 함정
22039254299488256,Key_Card2_Desc,You learn the clauses of the items sold by the seller.,판매자가 판매하는 아이템의 조항을 알 수 있습니다.
22039230417121280,Key_Card2_Name,Clause Insider,조항 인사이더
22040424455778304,Key_Card3_Desc,You gain a permanent 10% discount when reroll the cards in the shop.,상점에서 카드를 리롤할 때 영구적으로 10% 할인을 받습니다.
22040411625402368,Key_Card3_Name,Reroll Saver I,리롤 세이버 I
22041236317843456,Key_Card4_Desc,You gain a permanent 20% discount when reroll the cards in the shop.,상점에서 카드를 리롤할 때 영구적으로 20% 할인을 받습니다.
22041213471469568,Key_Card4_Name,Reroll Saver II,리롤 세이버 II
22041858102439936,Key_Card5_Desc,You gain an extra 10% when selling items in the shop.,상점에서 아이템을 판매할 때 10%의 추가 골드를 얻습니다.
22041840540889088,Key_Card5_Name,Black Marketeer I,암시장 상인 I
22042354573815808,Key_Card6_Desc,You gain an extra 20% when selling items in the shop.,상점에서 아이템을 판매할 때 20%의 추가 골드를 얻습니다.
22042338945839104,Key_Card6_Name,Black Marketeer II,암시장 상인 II
22043053093203968,Key_Card7_Desc,Choose a player. They cannot place bids for 1 hand.,플레이어 1명을 선택합니다. 해당 플레이어는 1턴 동안 입찰할 수 없습니다.
22043030695620608,Key_Card7_Name,Hammer Lock,해머 락
22044033847308288,Key_Card8_Desc,"Take 1000 now, in 2 hands you owe 1200… no excuses.",지금 1000을 받고 2턴 뒤에 1200을 갚아라… 변명은 없다.
22044018240303104,Key_Card8_Name,Loan Shark,사채업자
22044564359655424,Key_Card9_Desc,"75% chance to gain 300, or nothing.","75% 확률로 300 획득, 실패 시 없음."
22044548878479360,Key_Card9_Name,Roll the Dice I,주사위 굴리기 I
22546853780434944,Key_CARDSICONART,CARD ICONS ART,카드 아이콘 아트
19268796052135936,Key_CharcoalIron,Charcoal Iron,숯다리미
19269543451942912,Key_ChariotWheel,Chariot Wheel,전차 바퀴
22089571879792640,Key_Checkout,CHECKOUT,결제하기
22407778352148480,Key_ChooseAnItem,Choose an Item To Sell,판매할 아이템을 선택하세요
19268882853257216,Key_Cithara,Cithara,키타라
22459191983779840,Key_CLAUSE&ERA,CLAUSE & ERA,조항 & 기간
22461404911153152,Key_Clause&EraDesc,"Each item has two randomly assigned clauses. These clauses can provide benefits or penalties to either the buyer or the seller. Only the seller is aware of these clauses. Every item belongs to a specific era, which is visible to everyone. Selling items from the same era at the market yields extra profit.",각 아이템에는 무작위 조항 두 개가 있습니다. 이 조항은 구매자나 판매자에게 이득이나 패널티를 줍니다. 판매자만 이를 압니다. 모든 아이템은 모두에게 보이는 특정 기간에 속합니다. 같은 기간의 아이템을 마켓에 판매하면 추가 수익을 얻습니다.
25882323312640,Key_Clause0,"If checkout total exceeds $500, you gain extra $100.",결제 총액이 $500를 초과하면 추가로 $100를 획득합니다.
26847793373184,Key_Clause1,+10% price bonus when sold in the shop.,상점에서 판매 시 가격 보너스 +10%.
30608674775040,Key_Clause10,"When sold to a player, the buyer player can't use any cards for 1 round.","다른 플레이어에게 판매 시, 구매자는 1라운드 동안 어떤 카드도 사용할 수 없습니다."
30868197335040,Key_Clause11,"When sold to a player, the seller player can't use any cards for 1 round.","다른 플레이어에게 판매 시, 판매자는 1라운드 동안 어떤 카드도 사용할 수 없습니다."
31171848167424,Key_Clause12,A random card is removed from the buyer's inventory.,구매자의 인벤토리에서 무작위 카드 한 장이 제거됩니다.
31426471780352,Key_Clause13,A random card is removed from the seller's inventory.,판매자의 인벤토리에서 무작위 카드 한 장이 제거됩니다.
31786682802176,Key_Clause14,"Item disappears when bought, after 7 hands it comes back as a copy of an item from inventory.","구매 시 아이템이 사라지며, 7핸드 후에 인벤토리에 있는 아이템의 복사본으로 돌아옵니다."
32283267424256,Key_Clause15,"Starts at -$250. While in inventory, every bid you make on any item increases this item's price by $50. Automatically sold after 10 hands.","-$250에서 시작. 인벤토리에 있는 동안, 다른 아이템에 입찰할 때마다 이 아이템의 가격이 $50씩 증가합니다. 10핸드 후 자동 판매."
33623049756672,Key_Clause16,The item's era changes every hand.,아이템의 시대는 핸드마다 변경됩니다.
10506303954923520,Key_Clause17,"The buyer loses all their cards, but gains $150 for each one.","구매자는 모든 카드를 잃지만, 카드 한 장당 150달러를 얻습니다."
10555817550065664,Key_Clause18,Holding this item gives you a 50% chance to gain or lose $150 each round.,이 아이템을 소지하면 매 라운드마다 50%의 확률로 150달러를 얻거나 잃습니다.
11142212916260864,Key_Clause19,Price drops by $100 each round spent in inventory.,인벤토리에 머무는 매 라운드마다 가격이 100달러씩 감소합니다.
46767688114176,Key_Clause1Prefix,- Clause 1: ,- 제1조: 
27215759663104,Key_Clause2,+30% price bonus when sold in the shop.,상점에서 판매 시 가격 보너스 +30%.
11155725638348800,Key_Clause20,"When sold to a player, the revenue is split equally between the seller and a random player.","플레이어에게 판매될 경우, 수익은 판매자와 무작위 플레이어가 똑같이 나눕니다."
11165168241389568,Key_Clause21,Selling on the market grants a 12% bonus per item quantity currently held in your inventory.,시장에 판매하면 현재 인벤토리에 소지한 아이템 수량당 12%의 보너스가 주어집니다.
11228308824043520,Key_Clause22,Buyer's mouth is taped and they are unable to talk for one hand.,구매자의 입이 테이프로 막혀 한 핸드 동안 말을 할 수 없습니다.
11608556136738816,Key_Clause23,Seller's mouth is taped and they are unable to talk for one hand.,판매자의 입이 테이프로 막혀 한 핸드 동안 말을 할 수 없습니다.
18900510324023296,Key_Clause24,Seller and buyer face off in a boxing match where the winner takes both the item and the money.,판매자와 구매자가 복싱 경기를 해서 승자가 아이템과 돈을 다 가져갑니다.
46918427205632,Key_Clause2Prefix,- Clause 2:  ,- 제2조: 
27574330712064,Key_Clause3,+10% price bonus per card reroll in shop.,상점 내 카드 리롤당 가격 보너스 +10%.
28500672110592,Key_Clause4,+10% price bonus per cards in inventory.,인벤토리의 카드 한 장당 가격 보너스 +10%.
28864213409792,Key_Clause5,+10% price bonus per empty card slot in inventory.,인벤토리의 빈 카드 슬롯 하나당 가격 보너스 +10%.
29180166135808,Key_Clause6,"On shop sale, 33% chance for 3x value, otherwise 1/3.","상점 판매 시 33% 확률로 가치 3배, 그렇지 않으면 1/3."
29524447191040,Key_Clause7,+15% overall price bonus while in your inventory.,인벤토리에 보관 중일 때 전체 가격 보너스 +15%.
29855507800064,Key_Clause8,Matches with items from any era for a bonus.,보너스를 위해 모든 시대의 아이템과 일치합니다.
30328797257728,Key_Clause9,"When sold to a player, the buyer player can't sell this item for 1 round.","다른 플레이어에게 판매 시, 구매자는 1라운드 동안 이 아이템을 판매할 수 없습니다."
22116143714185216,Key_Clauses,Clauses,조항
43131440455680,Key_ClauseUnknown,?,?
22769829222199296,Key_ClearFilter,Clear Filter,필터 초기화
8742556064198656,Key_ColdWarEra,Cold War Era,냉전 시대
33667736204914688,Key_ConnectionLost,Connection to the host was lost.,방장과의 연결이 끊어졌습니다.
22541523017183232,Key_CreateLobby,Create Lobby,로비 생성
22544245191782400,Key_Credits,Credits,크레딧
22545841795543040,Key_CREDITS,CREDITS,크레딧
19268944127844352,Key_Crown,Crown,왕관
23250951752298496,Key_CursorNotification1,Some selected items cannot be sold this round.,선택한 일부 아이템은 이번 라운드에 판매할 수 없습니다.
23251292141039616,Key_CursorNotification2,You can't use cards for this round.,이번 라운드에는 카드를 사용할 수 없습니다.
23251297924984832,Key_CursorNotification3,No cards left to reroll.,리롤할 카드가 남지 않았습니다.
27591383504302080,Key_CursorNotification4,This card cannot be used on a seller.,이 카드는 판매자에게 사용할 수 없습니다.
27606298881339392,Key_CursorNotification5,You cannot use this card during the shop phase.,상점 페이즈 중에는 이 카드를 사용할 수 없습니다.
30898551179620352,Key_CursorNotification6,Select a target first.,먼저 대상을 선택하세요.
31134353268584448,Key_CursorNotification7,Could not steal card because the target player had no cards.,대상 플레이어에게 카드가 없었기 때문에 카드를 훔칠 수 없었습니다.
31296925527617536,Key_CursorNotification8,This card cannot be used right now because it is already in use.,이 카드는 이미 사용 중이므로 지금은 사용할 수 없습니다.
41708390638071808,Key_CursorNotification9,The player used a protection card! Your card has no effect.,플레이어가 보호 카드를 사용했습니다! 귀하의 카드는 효과가 없습니다.
38059235168399360,Key_DECLINE,DECLINE,동의하지 않음
22096010098683904,Key_Description,Description,설명
22090787481366528,Key_DescriptionUpper,DESCRIPTION,설명
33284530066599936,Key_DISCONNECTED,DISCONNECTED,연결이 끊어졌습니다
22471988813672448,Key_Display,Display,디스플레이
22505075727577088,Key_DisplayMode,Display Mode,디스플레이 모드
19268981415206912,Key_EaNasirsCopper,Ea-Nasir's Copper,에아-나시르의 구리
22502351854284800,Key_EffectVolume,Effect Volume,효과음 볼륨
22401835698663424,Key_Emotes,Emotes,감정 표현
21804449997697024,Key_EmptyTitle,Empty,비어 있음
21804211543126016,Key_EmptyUpper,EMPTY,비어 있음
22764294162788352,Key_EnterLobbyName,Enter lobby name...,로비 이름 입력...
66432002940928,Key_Era:,Era:,시대:
22125870607151104,Key_EraBonus,Era Bonus,시즌 보너스 또는 기간 보너스
68130574426112,Key_EstPrice:,Est. Price:,예상 가격:
22401262572187648,Key_EyebrowsExpressions,Eyebrows Expressions,눈썹 표정
8743396908904448,Key_FlowerPot,Flower Pot,화분
19269110322946048,Key_FoldingFan,Folding Fan,접부채
22505759680147456,Key_FPSLimit,FPS Limit,FPS 제한
22507663013359616,Key_Fullscreen,Fullscreen,전체 화면
22472009663557632,Key_Game,Game,게임
27613271135793152,Key_GAMECOMPLETED,GAME COMPLETED,게임 완료
19269175724728320,Key_GeigarCounter,Geigar Counter,가이거 계수기
22471943380971520,Key_General,General,일반
53111895875584,Key_GoldenCross,Golden Cross,황금 십자가
56481863950336,Key_GoldenEgg,Golden Egg,황금 알
19269055960571904,Key_GoldenKey,Golden Key,황금 열쇠
58075414257664,Key_GoldMedalOfHonor,Gold Medal Of Honor,금 명예 훈장
22405159537782784,Key_Guard,Guard,가드
8743687804858368,Key_Guitar,Guitar,기타
22404943866671104,Key_HeavyAttack,Heavy Attack,강공격
22409896580526080,Key_HighestBid,Highest Bid: ,최고 입찰가: 
22409930101403648,Key_HighestBidder,Highest Bidder: ,최고 입찰자: 
33667243302891520,Key_HostLeft,The host left and closed the lobby.,방장이 퇴장하여 로비가 닫혔습니다.
19269271711375360,Key_HourGlass,Hourglass,모래시계
21686492458901504,Key_HowToPlay,How to Play?,게임 방법?
22458408890445824,Key_HOWTOPLAY?,HOW TO PLAY?,게임 방법?
22496506554789888,Key_InputDevice,Input Device (Microphone),입력 장치 (마이크)
22451308822966272,Key_InsufficientFunds,Insufficient Funds,잔액 부족
22087348194029568,Key_Inventory,INVENTORY,인벤토리
22454219657359360,Key_InventoryFull,Your Inventory Is Full,인벤토리가 가득 참
22788644861554688,Key_Join,Join,참여
33670113729359872,Key_JoinFailed,"Failed to join the lobby. It may have closed, become private, or filled up.","로비 참가에 실패했습니다. 로비가 닫혔거나, 비공개로 전환되었거나, 가득 찼을 b수 있습니다."
19269319576772608,Key_Katana,Katana,카타나
27864292361678848,Key_KeepYourMoney,Keep Your Money.,돈을 보유하세요.
33668127743193088,Key_Kicked,You were removed from the lobby by the host.,방장에 의해 로비에서 추방되었습니다.
22518192616419328,Key_Language,Language,언어
22786714147926016,Key_LeaveLobby,Leave Lobby,로비 나가기
22404160983052288,Key_LightAttack,Light Attack,약공격
22906041773764608,Key_Loading,Loading...,로딩 중...
22903109254819840,Key_Loading...,Loading... {0}%,로딩 중... {0}%
22783942413430784,Key_LobbiesFound,Lobby Found.,개의 로비를 찾았습니다.
22768322561093632,Key_LobbyList,Lobby List,로비 목록
22758807736332288,Key_LobbyName,Lobby Name,로비 이름
22760420110675968,Key_LobbyPrivacy,Lobby Privacy,로비 공개 설정
22760722234781696,Key_LobbySize,Lobby Size,로비 크기
58511059836928,Key_M1Helmet,Helmet,헬멧
21388279432601600,Key_MainMenu,Main Menu,메인 메뉴
22449954536730624,Key_MakeBid,Make Bid,입찰하기
22459302033928192,Key_MARKET,MARKET,마켓
22461791147831296,Key_MarketDesc,"At the end of each round, all players go to the market to sell the items they have acquired. 
With the money earned, they can purchase cards that either provide self benefits or hinder other players. The player with the most money at the end of all rounds wins the game.",각 라운드 종료 시 모든 플레이어는 획득한 아이템을 판매하러 마켓으로 이동합니다. 번 돈으로 자신에게 이득을 주거나 타인을 방해하는 카드를 구매할 수 있습니다. 모든 라운드 종료 시 가장 돈이 많은 플레이어가 승리합니다.
21741251860803584,Key_MarketPrice,Market Price: ,시장 가격: 
22494834717798400,Key_MasterVolume,Master Volume,마스터 볼륨
60086436225024,Key_MedievalEra,Medieval Era,중세 시대
34104010596352,Key_Menu,MENU,메뉴
22546277634060288,Key_MIKLAGARDTEAM,MIKLAGARD TEAM,MIKLAGARD 팀
8743951534305280,Key_ModelShip,Model Ship,모형 배
60549525135360,Key_ModernEra,Modern Era,현대 시대
8744438019043328,Key_Monitor,Retro Monitor,브라운관 모니터
22510546425393152,Key_MouseSensitivity,Mouse Sensitivity,마우스 감도
56901218852864,Key_MugOfCoffee,A Mug Of Coffee,커피 한 잔
22495047708749824,Key_MusicVolume,Music Volume,배경음악 볼륨
22780787915141120,Key_NoLobbiesFound,No lobbies found.,발견된 로비가 없습니다.
23119529565663232,Key_Notification1,The item you just bought is destroyed. It will return as a copy of one of your items after 7 hands are played.,방금 구매한 아이템이 파괴되었습니다. 7핸드를 플레이한 후 소지한 아이템 중 하나의 복사본으로 돌아옵니다.
23122816125808640,Key_Notification10,"Your mouth is taped shut due to the item you bought, you cannot speak for one hand.","구매한 아이템 때문에 입이 막혔습니다, 1핸드 동안 말할 수 없습니다."
23123009055404032,Key_Notification11,"Your mouth is untaped, you can speak now.","입의 차단이 해제되었습니다, 이제 말할 수 있습니다."
23123218175012864,Key_Notification12,"Your mouth is taped shut due to the item you sold, you cannot speak for one hand.","판매한 아이템 때문에 입이 막혔습니다, 1핸드 동안 말할 수 없습니다."
30507438245588992,Key_Notification13,"2 hands have passed, you won the gamble, and you got your money back with a profit.","2핸드가 지났습니다, 도박에서 승리하여 이익과 함께 돈을 돌려받았습니다."
30507448374833152,Key_Notification14,"2 hands have passed, you lost the gamble, and your money is gone.","2핸드가 지났습니다, 도박에서 패배하여 돈을 잃었습니다."
30892757679779840,Key_Notification15,You cannot place a bid for 1 hand due to a card played against you.,자신에게 사용된 카드 때문에 1핸드 동안 입찰할 수 없습니다.
30892770417881088,Key_Notification16,"1 hands have passed, your bidding restriction has been lifted.","1핸드가 지났습니다, 입찰 제한이 해제되었습니다."
31144382117883904,Key_Notification17,One of your cards has been stolen.,당신의 카드 중 한 장을 도둑맞았습니다.
31271047242362880,Key_Notification18,A player stole $250 from you.,어떤 플레이어가 당신에게서 $250를 훔쳤습니다.
31271268227657728,Key_Notification19,A player stole $100 from you.,어떤 플레이어가 당신에게서 $100를 훔쳤습니다.
23120691928936448,Key_Notification2,One of your items is duplicated.,소지한 아이템 중 하나가 복사되었습니다.
41953915761242112,Key_Notification20,"You lost all your cards, but you earned $150 for each.","모든 카드를 잃었지만, 카드 한 장당 150달러를 획득했습니다."
41954022057488384,Key_Notification21,You lost a random card from your inventory.,인벤토리에서 무작위 카드 한 장을 잃었습니다.
23120920858243072,Key_Notification3,There is not enough space to duplicate an item.,아이템을 복사할 수 있는 빈 공간이 부족합니다.
23121126953758720,Key_Notification4,There is no item in your inventory to duplicate.,인벤토리에 복사할 수 있는 아이템이 없습니다.
23121392109268992,Key_Notification5,"10 hands have been played, your item has been sold automatically.",10핸드가 플레이되어 소지한 아이템이 자동으로 판매되었습니다.
23121658065891328,Key_Notification6,You earned $150 thanks to one of the items in your inventory.,인벤토리에 있는 아이템 중 하나 덕분에 150달러를 획득했습니다.
23122062677815296,Key_Notification7,You lost $150 because of one of the items in your inventory.,인벤토리에 있는 아이템 중 하나 때문에 150달러를 잃었습니다.
23122281771479040,Key_Notification8,The money from the sale was split between you and a random player.,판매 금액이 귀하와 무작위 플레이어 간에 분할되었습니다.
23122581781655552,Key_Notification9,The money from the sale was split between you and the seller.,판매 금액이 귀하와 판매자 간에 분할되었습니다.
22453616898125824,Key_OfferBan,Waiting For Others To Bid,다른 플레이어의 재입찰 대기
8744863669596160,Key_OldChest,Old Chest,오래된 궤
22457641383145472,Key_OpenInventoryF,Open Inventory [F],인벤토리 열기 [F]
19269510262415360,Key_Pistol,Pistol,권총
22448182975967232,Key_PlayAgain,Play Again,다시 하기
22795593921507328,Key_Players,{0} Players,{0} 명의 플레이어
38054007098486784,Key_PrivacyPolicy,Privacy Policy,개인정보 처리방침
38056550239219712,Key_PRIVACYPOLICY,PRIVACY POLICY,개인정보 처리방침
